"   ","ASSETID","SHOPID","ACCID","EQUIPMENTNO","ASSETSNAME","ASSETSTYPEID","CHANGETYPEID","UNITNAME","INITQTY","CURRQTY","PRICE","RAWVALUE","SPECS","ADDRESS","USESTATUS","CHARGEMAN","INDATE","OPID","OPDATE","INITFLAG","DEPID","MEMO","RENT_NUM","CHANGEAMOUNT","IMAGES","ASSETID","ASSETCODE","ASSETNAME","PARENTID","UNITNAME","ISUSED","MEMO","ISDETAIL"
"51","15731","8131","1","20110120006","凳子","16","8","个","52.000000","52.000000","10.000000","520.000000","","村委","1","村委","2009-12-20","191","2012-10-25","T","","县教体局配置。","0","520","","16","010501","一般设备","6","个","T","一般设备",""
"52","16211","8131","1","20110120009","戏钗","16","1","双","20.000000","20.000000","50.000000","1000.000000","","村委","1","村委","2009-12-20","191","2012-10-25","T","","","0","1000","","16","010501","一般设备","6","个","T","一般设备",""
"53","15733","8131","1","20110120011","药具柜","16","1","个","1.000000","1.000000","300.000000","300.000000","","村委","1","村委","2009-12-20","191","2012-12-10","T","","09年三资清查入帐","0","300","","16","010501","一般设备","6","个","T","一般设备",""
"54","31328","8131","1","","文化体育器材","17","1","","1.000000","1.000000","7500.000000","7500.000000","","村大队部","1","","2013-12-23","191","2013-12-23","F","","","","7500","","17","010502","专用设备","6","个","T","专用设备",""
"55","23949","8131","1","","路灯","18","8","盏","80.000000","80.000000","200.000000","16000.000000","","村内","1","","2012-10-19","191","2012-10-19","T","","县电业局赠，2012年三资清查入帐。","","16000","","18","010503","其它","6","个","T","其它",""
"56","15746","8142","1","20110124009","电表","6","1","个","1.000000","1.000000","50.000000","50.000000","","村委　","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","50","","6","0105","其他","1","个","T","其他",""
"57","15935","8142","1","20110124007","电线","6","1","米","300.000000","300.000000","0.600000","180.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","180","","6","0105","其他","1","个","T","其他",""
"58","16367","8142","1","20110124002","办公楼","7","2","间","18.000000","18.000000","8888.000000","160000.000000","","村委","1","村委","2009-10-24","191","2012-12-10","T","","2009年三资清查入帐","0","160000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"59","15318","8142","1","20110124001","原村委办公楼","7","2","间","14.000000","14.000000","857.000000","120000.000000","","村内","1","村委　","2009-10-24","191","2012-11-02","T","","2009年三资清查入帐","0","120000","","7","010101","村委房屋","2","平米","T","村委房屋",""
"60","25826","8142","1","","电脑","10","1","套","1.000000","1.000000","3000.000000","3000.000000","","村委","1","","2012-10-25","191","2012-10-25","T","","","","3000","","10","010201","办公设备","3","套","T","办公设备",""
